Date,Year,Month,Route,Count
2018-08-11,2018,Aug,Union at Hawks,2341.0
2018-08-12,2018,Aug,Burrard at Cornwall,4859.0
2018-08-12,2018,Aug,Canada Line Bridge at West Kent,728.0
2018-08-12,2018,Aug,Comox at Thurlow,690.0
2018-08-12,2018,Aug,Dunsmuir Viaduct,1002.0
2018-08-12,2018,Aug,East 10th at Clark,1436.0
2018-08-12,2018,Aug,Hornby and Robson,1322.0
2018-08-12,2018,Aug,Lions Gate Bridge at Spirit Trail,2151.0
2018-08-12,2018,Aug,Ontario and 11th,1127.0
2018-08-12,2018,Aug,Point Grey at Stephens,2444.0
2018-08-12,2018,Aug,Point Grey at Volunteer Park,2894.0
2018-08-12,2018,Aug,Seawall 2nd Beach Pool,5638.0
2018-08-12,2018,Aug,Seawall at David Lam Park,4232.0
2018-08-12,2018,Aug,Seawall at HMS Discovery,5781.0
2018-08-12,2018,Aug,Seawall at Harbour Green Park,2931.0
2018-08-12,2018,Aug,Seawall at Science World,5215.0
2018-08-12,2018,Aug,Smithe at Expo,582.0
2018-08-12,2018,Aug,Stephens at Point Grey,590.0
2018-08-12,2018,Aug,Union at Hawks,2287.0
2018-08-13,2018,Aug,Burrard at Cornwall,6530.0
2018-08-13,2018,Aug,Canada Line Bridge at West Kent,757.0
2018-08-13,2018,Aug,Comox at Thurlow,996.0
2018-08-13,2018,Aug,Dunsmuir Viaduct,2906.0
2018-08-13,2018,Aug,East 10th at Clark,2405.0
2018-08-13,2018,Aug,Hornby and Robson,2929.0
2018-08-13,2018,Aug,Lions Gate Bridge at Spirit Trail,2151.0
2018-08-13,2018,Aug,Ontario and 11th,2115.0
2018-08-13,2018,Aug,Point Grey at Stephens,2163.0
2018-08-13,2018,Aug,Point Grey at Volunteer Park,2785.0
2018-08-13,2018,Aug,Seawall 2nd Beach Pool,4817.0
2018-08-13,2018,Aug,Seawall at David Lam Park,3794.0
2018-08-13,2018,Aug,Seawall at HMS Discovery,4974.0
2018-08-13,2018,Aug,Seawall at Harbour Green Park,2929.0
2018-08-13,2018,Aug,Seawall at Science World,7081.0
2018-08-13,2018,Aug,Smithe at Expo,1290.0
2018-08-13,2018,Aug,Stephens at Point Grey,748.0
2018-08-13,2018,Aug,Union at Hawks,4304.0
2018-08-14,2018,Aug,Burrard at Cornwall,6972.0
